DATE,CUSTOMER,NAME,COMPANY,REPORT,STATE,COUNTRY,REFERENCE_URL,CAMPAIGN,COMMUNITY_SIZE,I1,I2,I3,I4,I_Count,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B_Count
23-05-2022,Cuspera,515023e0-57e7-460d-a103-2f77fa9bcce5_user_name,Wanrenhold,bdf26b56-ff3d-484d-9b24-9c6aced8bce9,UNKNOWN,UNKNOWN,https://www.cuspera.com/products/renderforest-video-x-10846,Organic,Mid Market - (100M $ - 3B $),Marketing and Advertising,,,,1,SEO,Acquire customers,Advertisement,Social media,Collaboration,Enhance customer relationships,Social media marketing,Improve internal communications,,,8
23-05-2022,Cuspera,515023e0-57e7-460d-a103-2f77fa9bcce5_user_name,Wanrenhold,bdf26b56-ff3d-484d-9b24-9c6aced8bce9,England,GB,https://www.cuspera.com/products/renderforest-video-x-10846,Organic,Mid Market - (100M $ - 3B $),Marketing and Advertising,,,,1,SEO,Acquire customers,Advertisement,Social media,Collaboration,Enhance customer relationships,Social media marketing,Improve internal communications,,,8
25-05-2022,Cuspera,77b52e3c-ea1e-4018-bc80-49de69f495d6_user_name,YPrime,9338c958-8207-4122-963d-0c15a598e3dd,UNKNOWN,UNKNOWN,https://www.cuspera.com/categories/authoring-and-publishing,Organic,Small - (0 - 100M$),Computer Software,,,,1,Video,Offline,Website,On premises,Acquire customers,Scale best practices,Build brand awareness,Content management,Enhance customer relationships,,9
25-05-2022,Cuspera,77b52e3c-ea1e-4018-bc80-49de69f495d6_user_name,YPrime,9338c958-8207-4122-963d-0c15a598e3dd,North Carolina,US,https://www.cuspera.com/categories/authoring-and-publishing,Organic,Small - (0 - 100M$),Computer Software,,,,1,Video,Offline,Website,On premises,Acquire customers,Scale best practices,Build brand awareness,Content management,Enhance customer relationships,,9
23-05-2022,Cuspera,9d2d99a6-7bd5-487e-a291-a32d82673be6_user_name,Rocket,e09d931f-e865-45d7-8706-591092898721,UNKNOWN,UNKNOWN,https://www.cuspera.com/products/impact-partnership-cloud-x-660,Organic,Large Enterprise - (10B+ $),Computer Software,Information Technology and Services,,,2,Improve ROI,Acquire customers,Promotions,Increase sales & revenue,Partner marketing,Referral management,,,,,6
23-05-2022,Cuspera,9d2d99a6-7bd5-487e-a291-a32d82673be6_user_name,Rocket,e09d931f-e865-45d7-8706-591092898721,Réunion,RE,https://www.cuspera.com/products/impact-partnership-cloud-x-660,Organic,Large Enterprise - (10B+ $),Computer Software,Information Technology and Services,,,2,Improve ROI,Acquire customers,Promotions,Increase sales & revenue,Partner marketing,Referral management,,,,,6
24-05-2022,Cuspera,a13e694e-987b-4c1e-a821-8640a26d2bd2_user_name,NA,145aee77-ad5c-4262-822f-1d61172f3a3d,Iowa,US,https://www.cuspera.com/products/market-leader-x-14055,Organic,Small - (0 - 100M$),Real Estate,,,,1,Improve ROI,E-mail,Website,Acquire customers,Drip marketing,Lead engagement,Conversion management,Enhance customer relationships,Improve digital and social presence,,9
24-05-2022,Cuspera,a13e694e-987b-4c1e-a821-8640a26d2bd2_user_name,NA,145aee77-ad5c-4262-822f-1d61172f3a3d,UNKNOWN,UNKNOWN,https://www.cuspera.com/products/market-leader-x-14055,Organic,Small - (0 - 100M$),Real Estate,,,,1,Improve ROI,E-mail,Website,Acquire customers,Drip marketing,Lead engagement,Conversion management,Enhance customer relationships,Improve digital and social presence,,9
24-05-2022,Cuspera,a13e694e-987b-4c1e-a821-8640a26d2bd2_user_name,NA,145aee77-ad5c-4262-822f-1d61172f3a3d,California,US,https://www.cuspera.com/products/market-leader-x-14055,Organic,Small - (0 - 100M$),Real Estate,,,,1,Improve ROI,E-mail,Website,Acquire customers,Drip marketing,Lead engagement,Conversion management,Enhance customer relationships,Improve digital and social presence,,9
24-05-2022,Cuspera,a13e694e-987b-4c1e-a821-8640a26d2bd2_user_name,NA,145aee77-ad5c-4262-822f-1d61172f3a3d,Iowa,US,https://www.cuspera.com/products/market-leader-x-14055,Organic,Small - (0 - 100M$),Real Estate,,,,1,Improve ROI,E-mail,Website,Acquire customers,Drip marketing,Lead engagement,Conversion management,Enhance customer relationships,Improve digital and social presence,,9
