customer_id,week_beginning,total_visitors,total_events,total_impressions,total_leads,total_time_spent
1,2022-04-17,4385.0,48464.0,2487.0,26.0,926746.0
1,2022-04-24,7956.0,73516.0,4569.0,26.0,1483917.0
1,2022-05-01,7494.0,71067.0,4181.0,17.0,1509206.0
1,2022-05-08,7965.0,71838.0,4518.0,21.0,1510963.0
1,2022-05-15,8340.0,77016.0,4941.0,26.0,1864809.0
1,2022-05-22,8497.0,74661.0,4689.0,18.0,1714608.0
1,2022-05-29,8006.0,68840.0,4304.0,24.0,1446427.0
1,2022-06-05,8984.0,84015.0,5308.0,34.0,1709044.0
1,2022-06-12,8412.0,40009.0,4440.0,34.0,1315927.0
1,2022-06-19,6837.0,12970.0,3620.0,21.0,812039.0
1,2022-06-26,4752.0,9989.0,2494.0,16.0,621764.0
1,2022-07-03,4373.0,9491.0,2221.0,21.0,590181.0
1,2022-07-10,4350.0,10796.0,2219.0,25.0,597404.0
1,2022-07-17,4553.0,9854.0,2334.0,14.0,563080.0
1,2022-07-24,4634.0,10362.0,2323.0,15.0,604405.0
1,2022-07-31,4487.0,10370.0,755.0,17.0,660216.0
1,2022-08-07,4642.0,10984.0,578.0,11.0,640932.0
1,2022-08-14,4570.0,10265.0,444.0,13.0,533041.0
1,2022-08-21,4658.0,11068.0,471.0,13.0,580773.0
1,2022-08-28,4214.0,9379.0,503.0,9.0,541388.0
1,2022-09-04,288.0,531.0,15.0,0.0,32867.0
